Ctip Ctail W Al M RMSD
229 1 0.0891981 -13.3684 0.141323 -0.00103097 3.1024
230 1 0.0736867 -15.7031 0.122104 -0.00127791 3.33038
231 1 0.0699827 -13.191 0.168299 -0.000827823 2.68713
232 1 0.0699371 -19.0467 0.0985008 -0.0014639 4.41078
233 1 0.0527571 -16.1049 0.13535 -0.00102153 2.6075
234 1 0.0594205 -15.6951 0.136838 -0.00119378 3.58763
235 1 0.0178893 -19.2486 0.116238 -0.00141227 3.49663
236 1 0.0762245 -12.2914 0.147021 -0.0010777 2.04269
237 1 0.0656728 -12.6419 0.1546 -0.00111974 2.6225
238 1 0.0650265 -14.4215 0.169146 -0.00101359 3.31929
239 1 0.0738448 -15.6709 0.126024 -0.00119509 3.5315
240 1 0.072452 -17.3802 0.106638 -0.00143066 2.94107
241 1 0.0687763 -13.6036 0.152231 -0.00097693 4.63576
242 1 0.0591109 -14.5226 0.153918 -0.00104108 2.28744
243 1 0.0867207 -13.8812 0.11555 -0.00122715 2.32879
244 1 0.0691068 -12.7268 0.157442 -0.00118769 3.42166
245 1 0.0744872 -16.1129 0.110999 -0.00128132 2.37977
246 1 0.0395846 -13.5081 0.196624 -0.000786812 4.74842
247 1 0.0490719 -14.3441 0.167366 -0.000929331 2.30486
248 1 0.0428292 -15.6255 0.171817 -0.000875149 2.79994
249 1 0.0427901 -16.1882 0.154161 -0.00116993 3.23708
250 1 0.0169551 -20.8521 0.120017 -0.00138417 2.26335
251 1 0.038486 -17.3835 0.136768 -0.00123443 2.33765
252 1 0.039559 -14.3419 0.184704 -0.000799844 4.1518
253 1 0.0348624 -15.7648 0.148409 -0.00110169 3.55991
254 1 0.0535161 -19.4865 0.1016 -0.00137226 2.59169
255 1 0.0519339 -18.9456 0.0998841 -0.00137644 2.48453
256 1 0.0681706 -15.5493 0.149087 -0.00108094 2.69776
257 1 0.0464334 -16.8382 0.146661 -0.00111766 2.33665
258 1 0.067239 -12.9781 0.157264 -0.00114514 2.78054
259 1 0.0608134 -12.604 0.174817 -0.00105135 4.65746
260 1 0.07744 -12.7056 0.161441 -0.00106781 4.15734
261 1 0.0542837 -14.0009 0.1596 -0.00108346 4.05533
262 1 0.0830289 -11.9149 0.171837 -0.000907525 4.61278
263 1 0.0493698 -13.2719 0.202954 -0.000814069 3.28531
264 1 0.0697895 -16.6135 0.143226 -0.00114931 2.58639
265 1 0.0716981 -15.2957 0.132926 -0.0010916 1.82562
266 1 0.0425382 -16.6569 0.148163 -0.00135267 2.58045
267 1 0.0778438 -16.8085 0.107382 -0.00130479 2.64039
268 1 0.0546238 -14.7366 0.156268 -0.00106098 3.51308
269 1 0.0546323 -12.5542 0.199629 -0.000733735 4.81556
270 1 0.0528856 -16.0522 0.13576 -0.00117096 2.54355
271 1 0.0465649 -14.9631 0.160103 -0.00100086 3.7972
272 1 0.0307475 -24.3868 0.0800907 -0.00177081 2.66147
273 1 0.0366961 -18.238 0.151036 -0.00113295 3.12722
274 1 0.076262 -13.1607 0.137207 -0.00113393 5.29699
275 1 0.0760788 -12.9087 0.133407 -0.0010804 3.84021
276 1 0.0510809 -16.0308 0.155885 -0.0010179 3.35098
277 1 0.0664541 -13.8188 0.153554 -0.000911958 4.02381
278 1 0.0436848 -17.9408 0.115618 -0.00125175 4.34197
279 1 0.0506608 -15.0948 0.147333 -0.00101036 4.33523
280 1 0.0634049 -12.8687 0.158131 -0.000931186 3.48779
281 1 0.0622286 -15.4301 0.122864 -0.00116838 2.85362
282 1 0.0447602 -14.3412 0.14974 -0.00104837 4.11581
283 1 0.0609547 -15.6783 0.141356 -0.00100359 2.06021
284 1 0.0516628 -14.6956 0.172904 -0.000825514 3.67835
285 1 0.0293329 -21.0062 0.106093 -0.00139334 3.03823
286 1 0.0539897 -17.1263 0.108414 -0.00115846 3.47667
287 1 0.055726 -16.3223 0.128789 -0.00100475 3.563
288 1 0.076638 -16.8425 0.0959954 -0.00123725 3.38834
289 1 0.0599782 -14.4224 0.150497 -0.000946656 3.34009
290 1 0.0577248 -14.2874 0.172006 -0.000766536 3.18254
291 1 0.0767165 -13.8275 0.108209 -0.00137043 2.46729
292 1 0.0807749 -15.944 0.104814 -0.00124874 4.02043
293 1 0.0417536 -14.3443 0.172759 -0.000935746 4.14955
294 1 0.0546 -12.6706 0.173058 -0.000974573 2.58455
295 1 0.066136 -18.2056 0.0926104 -0.00147168 2.48637
296 1 0.0463492 -13.7144 0.189244 -0.000872275 2.82838
297 1 0.0518408 -12.9694 0.184263 -0.0008743 5.13857
298 1 0.0653169 -13.2481 0.165565 -0.000835808 2.88343
299 1 0.0594171 -16.83 0.112735 -0.00129162 1.86347
300 1 0.0847161 -15.6271 0.0951018 -0.00121181 1.75023
301 1 0.0424191 -15.9649 0.144777 -0.00115231 3.68822
302 1 0.0615124 -18.2533 0.0955935 -0.00133328 2.39483
303 1 0.0317557 -15.0603 0.181439 -0.000916638 3.75549
304 1 0.0419803 -20.3958 0.095167 -0.00147819 3.88326
305 1 0.01 -19.9403 0.117304 -0.00139165 3.91665
306 1 0.01 -18.6271 0.144926 -0.00109665 4.97977
307 1 0.0291265 -15.3741 0.165541 -0.000826339 4.95497
308 1 0.0402603 -13.3951 0.171105 -0.00109193 3.62206
309 1 0.0171389 -20.2957 0.111572 -0.00166304 3.02927
310 1 0.0486917 -16.8037 0.137549 -0.00122867 4.11518
311 1 0.0758191 -12.7667 0.143373 -0.000913018 4.78084
312 1 0.0664325 -14.2944 0.139121 -0.00107576 4.14339
313 1 0.035624 -16.2593 0.167263 -0.000943026 3.32674
314 1 0.0370495 -15.4621 0.159505 -0.00106659 2.90264
315 1 0.0606316 -13.9267 0.14579 -0.000881542 3.1149
316 1 0.0191802 -19.8664 0.134406 -0.00134609 2.84196
317 1 0.0662143 -16.5068 0.132557 -0.0010982 2.70912
318 1 0.0517675 -14.7128 0.162061 -0.000829937 3.17641
319 1 0.0461083 -15.4984 0.153984 -0.000948698 2.36427
320 1 0.0726862 -13.3605 0.152408 -0.00136875 5.13326
321 1 0.0664658 -14.4876 0.166578 -0.00122511 4.86476
322 1 0.0702933 -18.9415 0.104347 -0.00169308 4.92037
323 1 0.0802105 -13.0648 0.146586 -0.00115996 4.95635
324 1 0.0576496 -15.132 0.144055 -0.00132869 5.2662
325 1 0.0593198 -14.4072 0.178259 -0.00100075 4.08213
326 1 0.0544643 -16.128 0.144916 -0.00118795 4.43667
327 1 0.0765912 -11.5996 0.187364 -0.000993547 3.12311
328 1 0.0663281 -16.5159 0.13465 -0.00120934 3.29564
329 1 0.0500842 -13.8227 0.194277 -0.000953271 3.33488
330 1 0.054548 -21.8036 0.0962856 -0.00189704 3.87154
331 1 0.0610928 -16.1055 0.143791 -0.00131536 3.15631
332 1 0.0594367 -15.9292 0.150274 -0.00116706 2.91509
333 1 0.0634648 -20.4087 0.0899297 -0.00165551 4.59462
334 1 0.0641003 -17.0973 0.135145 -0.00133963 3.61452
335 1 0.0569375 -14.4129 0.18005 -0.000941411 3.81117
336 1 0.0745346 -15.0239 0.144112 -0.00114639 4.80817
337 1 0.0713621 -10.6833 0.209192 -0.000798912 5.30499
338 1 0.080759 -13.3941 0.158456 -0.00112485 3.50032
