Ctip Ctail W RMSD
307 1.79092 0.07811 -22.3374 2.49853
308 2.04516 0.0999336 -21.3733 2.84741
309 10 0.170973 -20.1803 5.43779
310 7.85705 0.128488 -20.252 5.10085
311 1.38813 0.0644333 -21.7317 2.65926
312 8.17396 0.144863 -19.2628 5.0707
313 1.40433 0.091301 -22.063 1.87795
314 6.8551 0.135918 -20.4855 3.91983
315 1.32796 0.0777153 -21.8038 1.39463
316 5.32482 0.136321 -20.5149 3.21916
317 1.6752 0.0909454 -22.6353 2.18963
318 1.33445 0.0849747 -20.2105 1.47476
319 5.42796 0.145284 -19.346 4.00274
320 10 0.16277 -25.4788 4.65253
321 1.971 0.0947397 -24.0868 1.30791
322 7.2109 0.150222 -23.1536 4.50331
323 2.09716 0.0902623 -26.8175 1.89176
324 6.34626 0.131976 -23.8782 3.28195
325 2.50543 0.105991 -25.6884 1.46594
326 2.29148 0.100595 -28.8535 3.83904
327 2.25361 0.108785 -23.1893 1.77883
328 2.04765 0.0933074 -27.2588 2.62849
329 2.14752 0.105233 -23.7714 2.55789
330 10 0.370249 -20.7764 9.77309
331 1.89649 0.110733 -23.6135 2.3484
332 1.86959 0.0843947 -24.9563 2.51754
333 1.98998 0.106163 -25.7661 2.98765
334 1.85878 0.108722 -24.0638 2.08851
335 10 0.178299 -24.641 5.66348
336 1.8288 0.104215 -23.9899 2.05378
337 2.28232 0.100331 -22.8404 2.05603
338 2.07793 0.109704 -23.8075 2.12134
339 1.64104 0.0823116 -24.0456 2.07693
340 2.12382 0.117276 -24.7046 2.50178
341 2.02629 0.0936634 -26.5261 2.48282
342 1.81376 0.10254 -24.3932 1.23282
343 1.63931 0.0883968 -22.9476 1.15266
344 2.04893 0.105117 -25.1881 3.13248
345 1.6828 0.0756752 -24.0282 1.46293
346 5.83312 0.126111 -22.5968 2.89984
347 10 0.17161 -21.681 4.83815
348 2.43621 0.0994949 -22.908 1.6694
349 1.74507 0.0837123 -22.951 2.07638
350 1.84864 0.10948 -24.9414 1.27188
351 1.63361 0.0650673 -24.7426 2.79145
352 1.84891 0.0865502 -24.4363 2.55433
353 1.87587 0.101686 -22.6332 2.6306
354 1.74454 0.0650468 -23.4345 2.43032
355 1.85271 0.103487 -23.2587 2.26595
356 8.28326 0.163886 -21.1306 4.69856
357 10 0.162577 -23.893 6.45866
358 2.06684 0.0963667 -27.2954 4.30588
359 7.51807 0.165691 -21.4454 4.39709
360 1.70721 0.094187 -23.966 2.5335
361 1.8719 0.0828 -24.4452 3.57013
362 1.72514 0.0817086 -25.7331 3.54887
363 1.8305 0.0911764 -24.3266 2.45194
364 1.63453 0.0931276 -24.1286 3.90999
365 7.91331 0.13631 -22.8987 4.07357
366 1.61473 0.103139 -23.8234 3.47094
367 1.81845 0.102963 -22.921 1.40583
368 1.87921 0.090618 -22.3776 2.56619
369 1.66319 0.0752905 -23.5184 2.47866
370 6.89868 0.137892 -22.6933 3.99812
371 1.5474 0.0765898 -22.6449 2.59929
372 10 0.152668 -20.2736 4.75257
373 1.63052 0.0818379 -24.5485 2.35605
374 1.56797 0.0842256 -24.0151 1.64937
375 7.62538 0.137675 -21.5934 3.72399
376 1.96003 0.090105 -24.7637 3.57667
377 1.67425 0.0981561 -23.3849 2.52898
378 1.42397 0.0844914 -22.9771 0.970436
379 1.89941 0.111425 -22.4637 2.87726
380 1.38856 0.0806179 -23.0849 1.14561
381 1.64278 0.0858481 -23.7058 2.61009
382 1.71683 0.0907942 -22.9525 1.01579
383 1.83224 0.11513 -23.9049 2.90199
384 2.07711 0.0918422 -24.1948 3.44177
385 1.56167 0.0852218 -23.2139 1.86659
386 7.81886 0.156314 -20.628 3.84805
387 4.56343 0.112726 -20.114 3.73051
388 1.58124 0.086012 -23.4325 3.21999
389 10 0.160411 -20.7532 4.89569
390 2.3885 0.109494 -21.1405 2.24357
391 1.58152 0.0732425 -23.7689 2.43022
392 1.69056 0.083176 -23.5537 2.10064
393 1.49629 0.0691965 -23.479 1.90029
394 1.5018 0.0890253 -25.3652 3.55075
395 10 0.156121 -22.4495 4.51678
396 10 0.163383 -22.679 5.07526
397 1.86759 0.115558 -23.34 3.33136
398 1.43728 0.0818368 -24.9652 2.81455
399 1.76555 0.0865092 -26.8626 5.72452
