Ctip Ctail W Al s(1) s(2) s(3) s(4) RMSD
233 1 0.0468197 -18.7784 0.34832 6.6897 4.66702 3.37792 1.94152 4.7163
234 1 0.0495948 -18.5818 0.355979 6.27241 4.21013 3.22999 1.73471 5.5226
235 1 0.0264248 -22.3538 0.301141 6.37074 3.86017 2.76653 1.4964 5.73453
236 1 0.0616134 -15.2841 0.367991 6.02532 4.44262 3.11741 1.8989 3.44723
237 1 0.0551927 -15.6375 0.365102 6.24394 4.10303 3.02988 1.84998 3.3688
238 1 0.0523365 -17.4501 0.395003 7.035 4.44337 2.95525 2.01376 4.12543
239 1 0.0776352 -6.12884 1 12.3376 7.74282 5.04951 3.09471 3.9166
240 1 0.0764091 -5.48239 1 10.8288 7.09179 4.24059 2.50354 3.46831
241 1 0.055889 -16.6497 0.37267 7.66943 4.17303 3.06824 2.12245 4.01236
242 1 0.0500271 -17.4771 0.367261 6.54475 4.36764 3.1472 1.94503 4.08689
243 1 0.0646945 -17.0889 0.350062 6.39036 4.40461 3.14371 1.74306 4.92521
244 1 0.0568058 -15.7741 0.374227 5.77192 3.81719 3.28922 1.75262 4.01831
245 1 0.0730219 -5.62529 1 10.6473 7.77289 5.00023 2.76536 3.53894
246 1 0.0384936 -16.5126 0.374353 6.84223 4.0135 3.78889 2.33309 4.21253
247 1 0.0454112 -17.08 0.36775 5.97403 4.61217 3.49527 2.06589 4.10024
248 1 0.0399056 -18.4671 0.371622 6.79002 4.46189 3.45213 2.15334 4.22764
249 1 0.039615 -19.1484 0.354364 5.96878 3.9467 3.27162 1.72212 5.06654
250 1 0.0247846 -23.4608 0.323106 6.73288 4.25027 2.61821 1.54143 5.92248
251 1 0.0369058 -20.3351 0.338073 6.02162 4.30076 3.00781 1.66667 5.33856
252 1 0.0386002 -17.2843 0.368199 6.31115 4.13233 4.12299 2.25128 4.34994
253 1 0.0360624 -18.9087 0.32775 6.17364 3.99733 3.27074 1.78951 4.98693
254 1 0.0441255 -21.7252 0.339363 6.67739 4.97104 2.95337 1.60151 6.74277
255 1 0.043252 -21.5191 0.329823 6.60547 4.96146 2.89939 1.58741 6.50336
256 1 0.0532393 -18.5463 0.38275 6.39748 4.52394 3.29947 1.90908 5.52044
257 1 0.0404237 -19.8629 0.357312 6.24064 4.5368 3.09116 1.83098 5.48102
258 1 0.0550898 -16.1275 0.371952 6.19266 4.31997 2.84021 1.83123 3.92362
259 1 0.051407 -15.712 0.382511 6.96609 4.1472 2.80848 1.98533 3.82171
260 1 0.0491237 -15.1777 0.550475 11.6452 6.20782 4.51228 2.46371 5.16401
261 1 0.033984 -16.4991 0.544113 13.4338 7.562 4.5634 2.44949 6.08989
262 1 0.0498651 -14.3071 0.636383 14.8404 7.70937 6.04868 3.34051 5.10523
263 1 0.0442251 -16.1247 0.404521 6.19943 4.3181 3.81635 2.29186 4.09734
264 1 0.0527395 -19.5121 0.386935 6.60698 5.05009 2.86615 1.87117 5.8374
265 1 0.0544059 -18.6173 0.364158 6.71585 4.74013 3.14833 1.917 5.31191
266 1 0.0379352 -19.8575 0.349777 6.0444 3.78475 2.72477 1.58755 5.3829
267 1 0.0776363 -5.4805 1 10.1137 7.6081 4.89157 2.68125 4.21701
268 1 0.0458339 -18.0094 0.362296 6.36933 4.01869 3.38885 1.891 4.95542
269 1 0.0471975 -15.5868 0.403823 6.76711 4.06982 4.1836 2.49923 4.10374
270 1 0.0436434 -19.4376 0.345545 6.66692 4.20781 3.02499 1.7739 5.31495
271 1 0.0416469 -18.1541 0.355237 6.73803 4.11476 3.25667 1.97561 4.85551
272 1 0.0657594 -4.58704 1 8.80991 5.68042 3.76221 1.94574 4.79945
273 1 0.0333112 -21.2018 0.360581 7.03347 4.61558 2.636 1.85382 5.55998
274 1 0.0628912 -15.6549 0.36285 5.83943 4.47291 3.35315 1.77594 5.68801
275 1 0.0611957 -15.8702 0.353475 6.57899 4.07451 3.39439 1.87428 4.07344
276 1 0.0450013 -18.7395 0.370756 6.69672 4.33629 3.3607 1.9406 4.93923
277 1 0.0556249 -16.5779 0.374317 6.98278 4.57424 3.36903 2.16737 4.62574
278 1 0.0425438 -20.2108 0.328188 6.12592 4.63104 3.27918 1.63489 5.78411
279 1 0.0466739 -17.7514 0.35157 5.79544 4.51177 3.81088 1.88328 5.02594
280 1 0.0534423 -15.9176 0.36714 6.5235 4.15408 3.65538 2.07102 3.70262
281 1 0.0517135 -18.3236 0.340055 6.24859 4.53833 3.2768 1.75049 5.0093
282 1 0.0428332 -17.3646 0.335056 6.00779 3.98678 3.65087 1.83946 4.30558
283 1 0.0509327 -18.4075 0.364581 6.77371 4.73482 3.31821 2.00121 4.54585
284 1 0.0452476 -17.6008 0.380555 7.12811 4.2581 3.66349 2.29365 4.0762
285 1 0.030322 -23.5073 0.32528 7.88393 4.17916 2.71079 1.56132 6.46608
286 1 0.0448154 -20.2443 0.325185 7.72024 4.31344 3.34399 1.78204 5.63995
287 1 0.0476163 -19.1115 0.34619 7.93449 4.63349 3.13786 2.0381 4.76211
288 1 0.0575925 -19.3891 0.338794 7.99088 4.86925 3.06583 1.76572 6.15829
289 1 0.0519031 -17.1128 0.365197 6.0405 4.98627 3.49423 2.05047 4.9104
290 1 0.0490505 -17.1855 0.386965 6.7539 4.51342 4.06511 2.39715 4.11055
291 1 0.0594241 -17.1159 0.326906 6.67845 4.03621 2.748 1.60388 4.07736
292 1 0.0733931 -5.37517 1 11.9755 6.99517 4.77181 2.88613 4.44266
293 1 0.0392458 -17.5347 0.355481 6.75422 3.98029 3.43715 2.0286 4.29106
294 1 0.0478719 -15.7975 0.369023 5.9905 4.2262 3.43873 2.01079 3.60734
295 1 0.067211 -4.9748 1 10.3173 6.36952 4.4289 2.37198 3.51874
296 1 0.0435791 -16.4345 0.385822 5.85602 4.57003 3.66174 2.1432 4.19768
297 1 0.045858 -16.0361 0.380641 6.23684 3.8286 4.22846 2.13861 4.10578
298 1 0.0539098 -16.3046 0.382405 6.36992 4.38407 3.9575 2.27069 3.91269
299 1 0.0489482 -19.6282 0.336196 6.62232 4.43402 2.98874 1.66978 5.53495
300 1 0.0616383 -18.5925 0.336781 7.27579 4.98947 3.18022 1.79 5.68252
301 1 0.0381234 -19.3861 0.337358 6.58155 3.79648 3.22519 1.75726 5.10781
302 1 0.0662935 -5.10535 1 10.2311 6.80864 5.05073 2.6159 3.91576
303 1 0.035211 -17.8132 0.356957 5.63287 4.2934 3.8628 1.9819 4.57771
304 1 0.0377067 -22.7291 0.323967 6.13945 4.8024 2.97866 1.49242 7.39844
305 1 0.0166777 -23.9623 0.291497 5.87404 3.77817 2.90963 1.49324 6.70537
